Title,Format,Developer,Publisher,Issue,Score
Broken Sword II,PC,Revolution Software,Virgin Interactive,50,9
Final Fantasy VII,PlayStation,SquareSoft,SquareSoft,51,9
Resident Evil: Director’s Cut,PlayStation,Capcom,Capcom,52,9
Grand Theft Auto,"PC, PlayStation",DMA Design,BMG Interactive,52,9
Tomb Raider 2,PlayStation,Core Design,Eidos,52,9
F22 Advanced Dominance Fighter,PC,DID,Ocean,52,9
Total Annihilation,PC,Cavedog,GT Interactive,52,9
Tomb Raider 2,PC,Core Design,Eidos,53,9
Diddy Kong racing,N64,Rare,Nintendo,53,9
TOCA Touring Car Championship,PC,Codemasters,Codemasters,53,9
Blade Runner,PC,Westwood Studios,Virgin Interactive,53,9
Ultima Online,PC,Origin,Electronic Arts,54,9
X-Men vs Street Fighter,Saturn,Capcom,Capcom,54,9
Flight Unlimited 2,PC,Looking Glass Studios,Eidos,54,9
Quake II,PC,Id Software,Activision,54,9
Gran Turismo,PlayStation,Polyphony Digital,SCE,55,10
Resident Evil 2,PlayStation,Capcom,Capcom,56,9
Panzer Dragoon Saga,Saturn,Sega (Team Andromeda),Sega,57,9
Battlezone,PC,Activision,Activision,57,9
Final Fantasy Tactics,PlayStation,SquareSoft,SCEA,57,9
Tekken 3,PlayStation,Namco,Namco,58,9
Colin McRae Rally,PlayStation,Codemasters,Codemasters,61,9
Final Fantasy VII,PC,SquareSoft,Eidos,61,9
Jikkyou World Soccer: World Cup France ’98,N64,Konami,Konami,61,9
Turok 2: Seeds of Evil,N64,Iguana,Acclaim,63,9
Metal Gear Solid,PlayStation,Konami,Konami,64,9
Grand Prix Legends,PC,Papyrus,Sierra,64,9
Grim Fandango,PC,LucasArts,LucasArts,65,9
The Legend of Zelda: Ocarina of Time,N64,Nintendo,Nintendo,66,10
TOCA 2: Touring Cars,"PlayStation, PC",Codemasters,Codemasters,66,9
Half-Life,PC,Valve,Sierra,66,9
Alpha Centauri,PC,Firaxis,Electronic Arts,69,9
Civilization: Call to Power,PC,Firaxis,Activision,70,9
Power Stone,Dreamcast,Capcom,Capcom,70,9
Hidden & Dangerous,PC,Illusion Softworks,Take 2 Interactive,73,9
Soul Calibur,Dreamcast,Namco,Namco,76,9
Jet Force Gemini,N64,Rare,Rare,77,9
Final Fantasy VIII,PlayStation,SquareSoft,SCEE,77,9
Rally Championship,PC,Magnetic Fields,Europress,78,9
ISS Pro Evolution,PlayStation,Konami (KCET),Konami,80,9
Gran Turismo 2,PlayStation,Polyphony Digital,SCEI,81,9
Perfect Dark,N64,Rare,Rare,85,9
Deus Ex,"PC, Mac",Ion Storm,Eidos,88,9
Metropolis Street Racer,Dreamcast,Bizarre Creations,Sega,91,9
The Legend of Zelda: Majora’s Mask,N64,Nintendo,Nintendo,92,9
ISS Pro Evolution 2,PlayStation,Konami,Konami,94,9
Phantasy Star Online,Dreamcast,Sega (AM8 / Sonic Team),Sega,95,9
Tempest 3000,Nuon,Jeff Minter,Hasbro Interactive,95,9
Black & White,PC,Lionhead,Electronic Arts,96,9
Winning Eleven 5,PS2,Konami,Konami,98,9
Operation Flashpoint: Cold War,PC,Bohemia Interactive Studios,Codemasters,99,9
Mario Kart Advance,GBA,Intelligent Systems,Nintendo,102,9
Super Monkey Ball,GameCube,Amusement Vision,Sega,103,9
Advance Wars,GBA,Intelligent Systems,Nintendo,104,9
Halo,Xbox,Microsoft,Microsoft,105,10
Rez,"Dreamcast, PS2",Sega (AM9 / UGA),SCEE/Sega,105,9
Civilization III,PC,Firaxis,Infogrames,105,9
Neverwinter Nights,PC,BioWare,Infogrames,113,9
Super Mario Sunshine,GameCube,Nintendo,Nintendo,114,9
Timesplitters2,"Xbox, GameCube, PS2",Free Radical Design,Eidos,116,9
Pro Evolution Soccer 2,PS2,Konami,Konami,118,9
Metroid Prime,GameCube,Retro Studios,Nintendo,119,9
The Legend of Zelda: A Link to the Past,GBA,Nintendo,Nintendo,120,9
The Legend of Zelda: The Wind Waker,GameCube,Nintendo,Nintendo,123,9
Soul Calibur II,"PS2, Xbox, GameCube",Namco,Namco,124,9
Winning Eleven 7,PS2,Konami,Konami,128,9
Star Wars: Knights of the Old Republic,"PC, Xbox",BioWare,LucasArts,128,9
Halo,PC,Gearbox Software,Microsoft,130,9
Disgaea: Hour of Darkness,PS2,Nippon Ichi,Atlus,130,9
Broken Sword III: The Sleeping Dragon,"Xbox, PS2, PC",Revolution Software,THQ,131,9
Prince of Persia: The Sands of Time,"GameCube, Xbox, PC, PS2",Ubisoft,Ubisoft,131,9
